Strain,Stress (MPa)
0,0
7.60E-07,0.08626783
1.52E-06,0.172535659
2.28E-06,0.258803489
3.04E-06,0.345071318
3.80E-06,0.431339148
4.56E-06,0.517606977
5.32E-06,0.603874807
6.08E-06,0.690142636
6.84E-06,0.776410466
7.60E-06,0.862678295
8.37E-06,0.948946125
9.13E-06,1.035213954
9.89E-06,1.121481784
1.06E-05,1.207749613
1.14E-05,1.294017443
1.22E-05,1.380285273
1.29E-05,1.466553102
1.37E-05,1.552820932
1.44E-05,1.639088761
1.52E-05,1.725356591
1.60E-05,1.81162442
1.67E-05,1.89789225
1.75E-05,1.984160079
1.83E-05,2.070427909
1.90E-05,2.156695738
1.98E-05,2.242963568
2.05E-05,2.329231397
2.13E-05,2.415499227
2.21E-05,2.501767056
2.28E-05,2.588034886
2.32E-05,2.70314989
2.36E-05,2.818264893
2.40E-05,2.933379897
2.43E-05,3.0484949
2.47E-05,3.163609904
2.51E-05,3.278724907
2.55E-05,3.393839911
2.59E-05,3.508954914
2.62E-05,3.624069918
2.66E-05,3.739184921
2.70E-05,3.854299925
2.74E-05,3.969414928
2.78E-05,4.084529932
2.81E-05,4.199644935
2.85E-05,4.314759939
2.89E-05,4.429874943
2.93E-05,4.544989946
2.97E-05,4.66010495
3.00E-05,4.775219953
3.04E-05,4.890334957
3.08E-05,5.00544996
3.12E-05,5.120564964
3.16E-05,5.235679967
3.19E-05,5.350794971
3.23E-05,5.465909974
3.27E-05,5.581024978
3.31E-05,5.696139981
3.35E-05,5.811254985
3.38E-05,5.926369988
3.42E-05,6.041484992
3.50E-05,6.156545257
3.57E-05,6.271605522
3.65E-05,6.386665787
3.73E-05,6.501726052
3.80E-05,6.616786317
3.88E-05,6.731846582
3.95E-05,6.846906847
4.03E-05,6.961967112
4.11E-05,7.077027377
4.18E-05,7.192087642
4.26E-05,7.307147907
4.33E-05,7.422208172
4.41E-05,7.537268437
4.49E-05,7.652328702
4.56E-05,7.767388968
4.64E-05,7.882449233
4.71E-05,7.997509498
4.79E-05,8.112569763
4.87E-05,8.227630028
4.94E-05,8.342690293
5.02E-05,8.457750558
5.10E-05,8.572810823
5.17E-05,8.687871088
5.25E-05,8.802931353
5.32E-05,8.917991618
5.40E-05,9.033051883
5.48E-05,9.148112148
5.55E-05,9.263172413
5.63E-05,9.378232678
5.70E-05,9.493292943
5.82E-05,9.680279558
5.93E-05,9.867266173
6.05E-05,10.05425279
6.16E-05,10.2412394
6.27E-05,10.42822602
6.39E-05,10.61521263
6.50E-05,10.80219925
6.62E-05,10.98918586
6.73E-05,11.17617248
6.84E-05,11.3631591
6.96E-05,11.55014571
7.07E-05,11.73713233
7.19E-05,11.92411894
7.30E-05,12.11110556
7.41E-05,12.29809217
7.53E-05,12.48507879
7.64E-05,12.6720654
7.76E-05,12.85905202
7.87E-05,13.04603863
7.98E-05,13.23302525
8.10E-05,13.42001186
8.21E-05,13.60699848
8.33E-05,13.79398509
8.44E-05,13.98097171
8.56E-05,14.16795832
8.67E-05,14.35494494
8.78E-05,14.54193155
8.90E-05,14.72891817
9.01E-05,14.91590478
9.13E-05,15.1028914
9.20E-05,15.23234788
9.28E-05,15.36180437
9.35E-05,15.49126085
9.43E-05,15.62071733
9.51E-05,15.75017382
9.58E-05,15.8796303
9.66E-05,16.00908678
9.73E-05,16.13854326
